chromosome	start	end	celltypes
chr1	100080000	100120000	GM12878, SB
chr1	100120000	100160000	AO
chr1	100160000	100200000	LI, SX
chr1	100200000	100240000	AD, LG, MES, MSC, PA, PO, RV, TRO
chr1	100240000	100280000	BL, CO, H1, HC, IMR90, LV, NPC, OV
chr1	100880000	100920000	HC
chr1	100920000	100960000	LV, MSC, NPC
chr1	101360000	101400000	GM12878, TRO
chr1	101400000	101440000	H1, MES
chr1	101440000	101480000	LI, NPC, SB
chr1	101760000	101800000	OV, SB
chr1	101840000	101880000	AD, BL, CO, H1, HC, MES, NPC
chr1	101880000	101920000	LG, LI, MSC, PA, PO, RV, TRO
chr1	101920000	101960000	IMR90, LV
chr1	101960000	102000000	AO
chr1	102000000	102040000	SX
chr1	102080000	102120000	GM12878
chr1	103000000	103040000	MSC
chr1	103640000	103680000	LG
chr1	103680000	103720000	PA
chr1	103760000	103800000	RV
chr1	104160000	104200000	GM12878, H1, TRO
chr1	104200000	104240000	MES, MSC, NPC
chr1	104240000	104280000	AO, IMR90
chr1	104280000	104320000	HC
chr1	104320000	104360000	AD, CO, LG, LI, SB, SX
chr1	104400000	104440000	BL, OV
chr1	104440000	104480000	PA
chr1	104680000	104720000	PO
chr1	104720000	104760000	LG, LV, RV
chr1	105160000	105200000	TRO
chr1	10520000	10560000	AD, BL, H1, IMR90, LG, MES, NPC
chr1	10560000	10600000	CO, HC, LI, LV, MSC, OV, PA, PO, RV, SX, TRO
chr1	106360000	106400000	MES
chr1	10640000	10680000	GM12878
chr1	106400000	106440000	H1, LG
chr1	106440000	106480000	AD, AO, BL, CO, GM12878, LV, NPC, PO, TRO
chr1	106480000	106520000	HC, LI, MSC, PA, SX
chr1	106720000	106760000	OV
chr1	106800000	106840000	TRO
chr1	106840000	106880000	RV
chr1	107800000	107840000	GM12878, SB
chr1	107960000	108000000	SX
chr1	108080000	108120000	SX
chr1	108160000	108200000	LV, RV
chr1	108200000	108240000	LG, PO
chr1	108240000	108280000	AD, GM12878, LI, MSC, PA
chr1	108280000	108320000	IMR90
chr1	108320000	108360000	H1, MES, TRO
chr1	109000000	109040000	CO, HC, OV
chr1	109040000	109080000	MSC, PA
chr1	109080000	109120000	IMR90
chr1	109120000	109160000	AO, NPC
chr1	109160000	109200000	BL, PO
chr1	109200000	109240000	GM12878, H1, LG, SX
chr1	109240000	109280000	TRO
chr1	109280000	109320000	LV, RV
chr1	109320000	109360000	AD
chr1	109400000	109440000	SB
chr1	109520000	109560000	LI, NPC
chr1	109600000	109640000	H1, MES
chr1	110040000	110080000	CO, HC, IMR90, MSC, NPC
chr1	11040000	11080000	OV, SX
chr1	110600000	110640000	AD, GM12878, H1, LI, MES
chr1	110640000	110680000	CO, IMR90, LG, MSC, NPC, PA, SB, SX, TRO
chr1	110680000	110720000	AO, BL, HC, LV, OV, PO, RV
chr1	11080000	11120000	AO, H1, IMR90, LV, TRO
chr1	111000000	111040000	H1, LV, TRO
chr1	111040000	111080000	NPC, OV, PA, PO, SB, SX
chr1	111080000	111120000	LG
chr1	11120000	11160000	BL, CO, GM12878, LG, MES, MSC, NPC, PO, RV
chr1	111480000	111520000	LG, LV, NPC
chr1	11160000	11200000	PA, SB
chr1	111960000	112000000	MES
chr1	11200000	11240000	HC
chr1	112000000	112040000	TRO
chr1	112280000	112320000	LG
chr1	112360000	112400000	BL
chr1	11240000	11280000	AD
chr1	112400000	112440000	CO, HC, LI, SX
chr1	112440000	112480000	GM12878, PA
chr1	112880000	112920000	GM12878
chr1	112920000	112960000	IMR90, SB, SX
chr1	112960000	113000000	LI, OV
chr1	113040000	113080000	PO
chr1	113160000	113200000	CO, PA, TRO
chr1	11320000	11360000	LI
chr1	113200000	113240000	H1, LI, OV
chr1	113240000	113280000	BL, IMR90, LV, MES, NPC, RV, SX
chr1	113280000	113320000	AD, GM12878, HC, LG, MSC
chr1	113360000	113400000	AO
chr1	113560000	113600000	LG
chr1	113600000	113640000	AO, LV, MSC
chr1	114240000	114280000	AO
chr1	114320000	114360000	PO, SX
chr1	114360000	114400000	AD, BL, CO, H1, HC, IMR90, LG, LV, MES, MSC, NPC, OV, PA, RV, TRO
chr1	114400000	114440000	LI
chr1	114440000	114480000	GM12878
chr1	114480000	114520000	SB
chr1	114880000	114920000	LI, LV
chr1	114920000	114960000	GM12878
chr1	114960000	115000000	AD
chr1	115000000	115040000	BL
chr1	115240000	115280000	AD, MES
chr1	115280000	115320000	AO, IMR90, NPC, PA
chr1	115320000	115360000	LG, OV
chr1	115360000	115400000	HC, LV, MSC, RV
chr1	115400000	115440000	CO, LI, SB, SX
chr1	115440000	115480000	PO
chr1	115480000	115520000	TRO
chr1	115560000	115600000	GM12878, H1, MES
chr1	116240000	116280000	H1, SX
chr1	116280000	116320000	HC
chr1	116360000	116400000	CO
chr1	116480000	116520000	OV
chr1	116520000	116560000	IMR90
chr1	116560000	116600000	AO, GM12878, PO, SX
chr1	116600000	116640000	LG, LI, LV, PA, SB
chr1	116640000	116680000	H1, MES, MSC, NPC, RV, TRO
chr1	116680000	116720000	AD, BL
chr1	117080000	117120000	AO, BL, LG, NPC, OV, TRO
chr1	117120000	117160000	AD, CO, H1, HC, LI, LV, MES, MSC, PA, PO, RV, SB, SX
chr1	117200000	117240000	IMR90
chr1	117560000	117600000	PO
chr1	117600000	117640000	H1, NPC
chr1	117640000	117680000	MES, MSC, OV, TRO
chr1	117680000	117720000	AO, LI
chr1	117720000	117760000	GM12878, PA
chr1	117760000	117800000	SB, SX
chr1	117880000	117920000	MSC
chr1	117920000	117960000	MES
chr1	11800000	11840000	AO, PA, PO, SB, SX
chr1	11840000	11880000	AD
chr1	118440000	118480000	MES
chr1	118480000	118520000	AD, BL, H1, NPC, SB, TRO
chr1	118520000	118560000	AO, CO, GM12878, HC, LG, LI, LV, MSC, OV, PA, PO, RV
chr1	118560000	118600000	IMR90, SX
chr1	11960000	12000000	IMR90
chr1	12000000	12040000	MSC
chr1	120080000	120120000	NPC
chr1	120160000	120200000	IMR90
chr1	120200000	120240000	MSC
chr1	12040000	12080000	H1, LI, MES, NPC, TRO
chr1	12080000	12120000	LG
chr1	120840000	120880000	MSC, TRO
chr1	121200000	121240000	LV, SX
chr1	121240000	121280000	AO, BL
chr1	121320000	121360000	PO, RV
chr1	12160000	12200000	BL, CO, PA
chr1	12200000	12240000	GM12878, HC, RV
chr1	12280000	12320000	OV, PO
chr1	12840000	12880000	IMR90, MSC
chr1	12880000	12920000	AO, BL, H1, MES, OV, RV
chr1	12920000	12960000	AD, CO, GM12878, LG, LI, LV, NPC, PA, PO, SB, SX, TRO
chr1	12960000	13000000	HC
chr1	13760000	13800000	BL, GM12878, LI
