chr	start	end
chr1	760000	1240000
chr1	1240000	1680000
chr1	1680000	1840000
chr1	1840000	2480000
chr1	2480000	3360000
chr1	3360000	3720000
chr1	3720000	6040000
chr1	6040000	6520000
chr1	6520000	7840000
chr1	7840000	8000000
chr1	8000000	8400000
chr1	8400000	8920000
chr1	8920000	9640000
chr1	9640000	10000000
chr1	10000000	10240000
chr1	10240000	10480000
chr1	10480000	11080000
chr1	11080000	11880000
chr1	11880000	12080000
chr1	12080000	12760000
chr1	12760000	13000000
chr1	13760000	14920000
chr1	14920000	15440000
chr1	15440000	15640000
chr1	15640000	15840000
chr1	15840000	16080000
chr1	16080000	16400000
chr1	16400000	16800000
chr1	16800000	17280000
chr1	17280000	17760000
chr1	17760000	18920000
chr1	18920000	19200000
chr1	19200000	19560000
chr1	19560000	20000000
chr1	20000000	20840000
chr1	20840000	21000000
chr1	21000000	21520000
chr1	21520000	22000000
chr1	22000000	22400000
chr1	22400000	22760000
chr1	22760000	23000000
chr1	23000000	23280000
chr1	23280000	23600000
chr1	23600000	23840000
chr1	23840000	24080000
chr1	24080000	24720000
chr1	24720000	24960000
chr1	24960000	25560000
chr1	25560000	26160000
chr1	26160000	26360000
chr1	26360000	26800000
chr1	26800000	27240000
chr1	27240000	27680000
chr1	27680000	28000000
chr1	28000000	28560000
chr1	28560000	28840000
chr1	28840000	28960000
chr1	28960000	29560000
chr1	29560000	31200000
chr1	31200000	31400000
chr1	31400000	32040000
chr1	32040000	32280000
chr1	32280000	32640000
chr1	32640000	32840000
chr1	32840000	33160000
chr1	33160000	33360000
chr1	33360000	33560000
chr1	33560000	33960000
chr1	33960000	35320000
chr1	35320000	35640000
chr1	35640000	35880000
chr1	35880000	36040000
chr1	36040000	36280000
chr1	36280000	36560000
chr1	36560000	36920000
chr1	36920000	37920000
chr1	37920000	38160000
chr1	38160000	38280000
chr1	38280000	39320000
chr1	39320000	39560000
chr1	39560000	40240000
chr1	40240000	40520000
chr1	40520000	40960000
chr1	40960000	41440000
chr1	41440000	41960000
chr1	41960000	42280000
chr1	42280000	42560000
chr1	42560000	43240000
chr1	43240000	43640000
chr1	43640000	43920000
chr1	43920000	44160000
chr1	44160000	44520000
chr1	44520000	45200000
chr1	45200000	45800000
chr1	45800000	46040000
chr1	46040000	46480000
chr1	46480000	46800000
chr1	46800000	47640000
chr1	47640000	47840000
chr1	47840000	48200000
chr1	48200000	48560000
chr1	48560000	50840000
chr1	50840000	51080000
chr1	51080000	51760000
chr1	51760000	52280000
chr1	52280000	52480000
chr1	52480000	52840000
chr1	52840000	53160000
chr1	53160000	53680000
chr1	53680000	54280000
chr1	54280000	55520000
chr1	55520000	57280000
chr1	57280000	58960000
chr1	58960000	60320000
chr1	60320000	61320000
chr1	61320000	62360000
chr1	62360000	62600000
chr1	62600000	62920000
chr1	62920000	63240000
chr1	63240000	63760000
chr1	63760000	64000000
chr1	64000000	64720000
chr1	64720000	65320000
chr1	65320000	65480000
chr1	65480000	66200000
chr1	66200000	66720000
chr1	66720000	67200000
chr1	67200000	67400000
chr1	67400000	67640000
chr1	67640000	68000000
chr1	68000000	68240000
chr1	68240000	68520000
chr1	68520000	68880000
chr1	68880000	70480000
chr1	70480000	71000000
chr1	71000000	71560000
chr1	71560000	72520000
chr1	72520000	73600000
chr1	73600000	74240000
chr1	74240000	74480000
chr1	74480000	75200000
chr1	75200000	75680000
chr1	75680000	76280000
chr1	76280000	77600000
chr1	77600000	78160000
chr1	78160000	78440000
chr1	78440000	78600000
chr1	78600000	79160000
chr1	79160000	79720000
chr1	79720000	79840000
chr1	79840000	80680000
chr1	80680000	82000000
chr1	82000000	82240000
